87,22,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0
0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,126?1,126?1,0?0,17?0,17?0,17?0,17?0,134?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,134?0,17?0,17?0,134?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,134?0,17?0,17?0,134?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,134?0,17?0,17?0,17?0,17?0,0?0,126?1,126?1,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0
0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,17?0,5?1,17?0,17?0,17?0,17?0,17?0,17?0,17?0,126?1,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,17?0,17?0,17?0,17?0,134?3,0?0,0?0,0?0,0?0,0?0,0?0,0?0,134?2,17?0,17?0,17?0,17?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,126?1,17?0,17?0,17?0,17?0,17?0,17?0,17?0,5?1,17?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0
0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,17?0,17?0,17?0,17?0,17?0,126?1,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,0?0,0?0,0?0,0?0,188?0,17?0,17?0,17?0,17?0,17?0,17?0,126?1,0?0,0?0,0?0,0?0,0?0,126?1,17?0,17?0,17?0,17?0,17?0,17?0,188?0,0?0,0?0,0?0,0?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,126?1,17?0,17?0,17?0,17?0,17?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0
0?0,0?0,0?0,0?0,0?0,0?0,0?0,17?0,17?0,5?0,5?0,5?0,5?0,5?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,5?0,126?0,0?0,0?0,0?0,126?1,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,126?1,0?0,0?0,0?0,126?0,5?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,5?0,5?0,5?0,5?0,5?0,17?0,17?0,0?0,0?0,0?0,0?0,0?0,0?0,0?0
0?0,0?0,0?0,0?0,0?0,17?0,17?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,5?0,126?0,0?0,0?0,126?1,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,126?1,0?0,0?0,126?0,5?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,17?0,17?0,0?0,0?0,0?0,0?0,0?0
0?0,0?0,0?0,0?0,0?0,17?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,17?0,0?0,0?0,0?0,0?0,0?0
0?0,0?0,0?0,0?0,17?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?8,17?8,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?8,17?8,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,17?0,0?0,0?0,0?0,0?0
0?0,0?0,0?0,0?0,17?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?8,17?8,17?8,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?8,17?8,17?8,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,17?0,0?0,0?0,0?0,0?0
0?0,0?0,0?0,17?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,17?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,5?0,17?0,0?0,0?0,0?0
